Date,Price
2015-08-17,0.997
2015-08-18,0.993
2015-08-19,0.996
2015-08-20,1.008
2015-08-21,1.001
2015-08-24,1.0
2015-08-25,0.979
2015-08-26,0.958
2015-08-27,0.948
2015-08-28,0.956
2015-08-31,0.954
2015-09-01,0.959
2015-09-02,0.961
2015-09-07,0.952
2015-09-08,0.948
2015-09-09,0.956
2015-09-10,0.952
2015-09-11,0.952
2015-09-14,0.95
2015-09-15,0.946
2015-09-16,0.946
2015-09-17,0.958
2015-09-18,0.969
2015-09-21,0.979
2015-09-22,0.973
2015-09-23,0.959
2015-09-24,0.963
2015-09-25,0.971
2015-09-28,0.965
2015-09-29,0.955
2015-09-30,0.957
2015-10-08,0.996
2015-10-09,0.996
2015-10-12,0.996
2015-10-13,0.99
2015-10-14,1.0
2015-10-15,1.001
2015-10-16,0.992
2015-10-19,0.987
2015-10-20,0.987
2015-10-21,0.977
2015-10-22,0.985
2015-10-23,0.985
2015-10-26,0.983
2015-10-27,0.983
2015-10-28,0.987
2015-10-29,0.988
2015-10-30,0.983
2015-11-02,0.98
2015-11-03,0.98
2015-11-04,0.976
2015-11-05,0.969
2015-11-06,0.971
2015-11-09,0.963
2015-11-10,0.943
2015-11-11,0.948
2015-11-12,0.946
2015-11-13,0.937
2015-11-16,0.942
2015-11-17,0.937
2015-11-18,0.929
2015-11-19,0.933
2015-11-20,0.931
2015-11-23,0.915
2015-11-24,0.915
2015-11-25,0.916
2015-11-26,0.916
2015-11-27,0.909
2015-11-30,0.9
2015-12-01,0.913
2015-12-02,0.909
2015-12-03,0.9
2015-12-04,0.904
2015-12-07,0.927
2015-12-08,0.923
2015-12-09,0.921
2015-12-10,0.916
2015-12-11,0.917
2015-12-14,0.918
2015-12-15,0.912
2015-12-16,0.914
2015-12-17,0.919
2015-12-18,0.911
2015-12-21,0.923
2015-12-22,0.927
2015-12-23,0.926
2015-12-24,0.929
2015-12-25,0.932
2015-12-28,0.928
2015-12-29,0.926
2015-12-30,0.924
2015-12-31,0.926
2016-01-04,0.92
2016-01-05,0.927
2016-01-06,0.929
2016-01-07,0.934
2016-01-08,0.937
2016-01-11,0.936
2016-01-12,0.925
2016-01-13,0.918
2016-01-14,0.922
2016-01-15,0.919
2016-01-18,0.923
2016-01-19,0.925
2016-01-20,0.925
2016-01-21,0.93
2016-01-22,0.927
2016-01-25,0.928
2016-01-26,0.937
2016-01-27,0.938
2016-01-28,0.933
2016-01-29,0.93
2016-02-01,0.932
2016-02-02,0.93
2016-02-03,0.931
2016-02-04,0.946
2016-02-05,0.946
2016-02-15,0.961
2016-02-16,0.961
2016-02-17,0.96
2016-02-18,0.957
2016-02-19,0.961
2016-02-22,0.957
2016-02-23,0.956
2016-02-24,0.959
2016-02-25,0.958
2016-02-26,0.955
2016-02-29,0.93
2016-03-01,0.939
2016-03-02,0.932
2016-03-03,0.932
2016-03-04,0.951
2016-03-07,0.971
2016-03-08,0.957
2016-03-09,0.941
2016-03-10,0.94
2016-03-11,0.96
2016-03-14,0.957
2016-03-15,0.942
2016-03-16,0.945
2016-03-17,0.95
2016-03-18,0.972
2016-03-21,0.957
2016-03-22,0.962
2016-03-23,0.957
2016-03-24,0.939
2016-03-25,0.939
2016-03-28,0.941
2016-03-29,0.937
2016-03-30,0.945
2016-03-31,0.939
2016-04-01,0.943
2016-04-05,0.933
2016-04-06,0.931
2016-04-07,0.933
2016-04-08,0.934
2016-04-11,0.942
2016-04-12,0.954
2016-04-13,0.957
2016-04-14,0.956
2016-04-15,0.959
2016-04-18,0.956
2016-04-19,1.0
2016-04-20,1.01
2016-04-21,1.032
2016-04-22,1.01
2016-04-25,1.005
2016-04-26,0.997
2016-04-27,1.018
2016-04-28,1.021
2016-04-29,1.043
2016-05-03,1.042
2016-05-04,1.019
2016-05-05,1.021
2016-05-06,1.012
2016-05-09,1.013
2016-05-10,0.997
2016-05-11,1.005
2016-05-12,1.007
2016-05-13,1.002
2016-05-16,1.01
2016-05-17,1.01
2016-05-18,1.0
2016-05-19,0.987
2016-05-20,0.981
2016-05-23,0.969
2016-05-24,0.966
2016-05-25,0.963
2016-05-26,0.975
2016-05-27,0.971
2016-05-30,0.943
2016-05-31,0.948
2016-06-01,0.947
2016-06-02,0.948
2016-06-03,0.95
2016-06-06,0.965
2016-06-07,0.965
2016-06-08,0.976
2016-06-13,1.003
2016-06-14,1.001
2016-06-15,1.008
2016-06-16,1.023
2016-06-17,0.998
2016-06-20,0.998
2016-06-21,1.003
2016-06-22,0.992
2016-06-23,0.994
2016-06-24,1.017
2016-06-27,1.019
2016-06-28,1.01
2016-06-29,1.042
2016-06-30,1.048
2016-07-01,1.083
2016-07-04,1.118
2016-07-05,1.129
2016-07-06,1.145
2016-07-07,1.139
2016-07-08,1.113
2016-07-11,1.154
2016-07-12,1.17
2016-07-13,1.166
2016-07-14,1.158
2016-07-15,1.158
